scenario,ETF_Ticker,TE_annual,TE_to_Budget,TE_coverage_wt,%Clean,%Controversial,%Other,#names,ActiveShare_%,%ActiveNames,MaxDeltaName,MaxDelta_%,ETF_AUM_USD,sector_dev__Cash and/or Derivatives,sector_dev__Communication,sector_dev__Consumer Discretionary,sector_dev__Consumer Staples,sector_dev__Energy,sector_dev__Financials,sector_dev__Health Care,sector_dev__Industrials,sector_dev__Information Technology,sector_dev__Materials,sector_dev__Real Estate,sector_dev__Utilities,region_dev__Other,region_dev__US,region_dev__Americas,region_dev__APAC,region_dev__Europe
Baseline,SUSA,0.0,,0.5882000000000001,15.85949464012251,24.540581929555895,59.5999234303216,200,0.0,0.0,NVDA,0.0,3715892967.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,XJH,0.0,,0.1699,1.4886418559690673,8.032866118898017,90.47849202513291,380,0.0,0.0,IBKR,0.0,298461803.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Baseline,ESML,0.0,,0.10450000000000001,0.8227228207639569,12.908912830558277,86.26836434867778,924,0.0,0.0,USFD,0.0,1918530890.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,CRBN,2.0618500848129353e-05,,0.4920999999999999,12.478468899521534,25.05263157894738,62.468899521531085,998,0.039999999999994366,92.84386617100371,USD,0.04,1071014287.19,0.039812440191387605,-0.003980861244017031,-0.003720574162677237,-0.0020172248803823623,-0.0007617224880383106,-0.007862200956934573,-0.003850717703347828,-0.004156937799042193,-0.010518660287078818,-0.0008727272727271362,-0.0011023923444972161,-0.0009684210526311049,-0.00136267942583701,0.014147368421058015,-0.0015119617224876314,-0.0050909090909073695,-0.00618181818181629
Baseline,USCL,0.0,,0.6473,9.519155590304925,36.84519155590305,53.63565285379202,294,0.0,0.0,NVDA,0.0,2544447290.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,SDG,0.0,,0.5922,24.245939675174018,10.51817478731632,65.23588553750966,139,0.0,0.0,NVDA,0.0,174119300.99,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baseline,ESGE,0.00019663041238124072,,0.32700000000000007,13.390804597701148,5.9770114942528725,80.63218390804599,332,0.41999999999999904,94.87179487179488,USD,0.42,5279409805.95,0.41666091954022993,-0.04405172413793068,-0.054109195402299304,-0.016655172413793107,-0.010781609195402442,-0.1204482758620673,-0.016011494252873848,-0.021965517241379073,-0.10105747126436526,-0.019632183908046413,-0.005109195402298698,-0.006839080459770247,-0.11545977011493957,0.4184712643678161,-0.024017241379310772,-0.278954022988509,-4.022988505747129e-05
Baseline,EMXF,0.00012669382770218082,,0.2314,7.068705171762928,3.293695734239335,89.63759909399775,550,0.36000000000000276,95.84055459272098,USD,0.32,114181173.34,0.35789354473386187,-0.024563986409967264,-0.03910532276330814,-0.016681766704416956,,-0.15873159682899263,-0.017361268403170982,-0.016715741789354727,-0.06570781426953609,-0.00852774631936587,-0.007848244620611844,-0.002650056625141603,-0.07986409966024843,0.31928652321630807,-0.025753114382787157,-0.21366930917328109,0.0
Baseline,DSI,0.0,,0.6463,10.684051766079596,30.641237715286568,58.67471051863383,404,0.0,0.0,NVDA,0.0,4922643873.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,SUSL,0.0,,0.6595999999999999,9.005665168978316,32.61379175620239,58.38054307481929,295,0.0,0.0,NVDA,0.0,991959261.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Baseline,LCTD,0.0,,0.3438,9.539473684210527,21.906116642958754,68.55440967283073,388,0.0,0.0,HSBA,0.0,268223146.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baseline,LCTU,0.0,,0.5921,17.144254278728607,31.599022004889974,51.25672371638142,306,0.0,0.0,NVDA,0.0,1333819124.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Baseline,DMXF,0.0,,0.3131,5.849481748535378,8.715637674628212,85.43488057683642,459,0.0,0.0,SAP,0.0,889247652.85,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Baseline,XVV,0.0,,0.6240000000000001,15.707011359185271,33.05914610262435,51.23384253819038,470,0.0,0.0,NVDA,0.0,440113837.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,USXF,0.0,,0.48679999999999995,11.074153785951868,7.5914693797691255,81.33437683427901,327,0.0,0.0,NVDA,0.0,1291850247.42,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,ESGU,0.0,,0.6098000000000001,14.733268671193015,33.79243452958293,51.47429679922405,311,0.0,0.0,NVDA,0.0,14432830146.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,PABD,0.0,,0.31239999999999996,7.838906868033082,10.544768069039913,81.616325062927,488,0.0,0.0,SAP,0.0,235947165.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baseline,ESGD,5.641207836875448e-06,,0.33599999999999997,5.51846906987094,25.79439252336449,68.68713840676457,422,0.019999999999997967,96.57534246575342,USD,0.02,10731249448.45,0.019878949710725423,-0.0008971962616823037,-0.0019563862928340114,-0.0016110369381386325,-0.000651535380507412,-0.004982643524698016,-0.002305295950155717,-0.0035264797507761347,-0.0019421450823314812,-0.0010378282153986063,-0.0003471295060078483,-0.0006212728081884944,-0.00016911437472170998,0.01848865153538104,,-0.004788607031597225,-0.013530930129057595
Baseline,PABU,0.0,,0.728,17.732817613805416,23.088366557572158,59.17881582862242,182,0.0,0.0,NVDA,0.0,2195998668.13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baseline,ICLN,0.0,,0.7140000000000002,24.014991351143575,17.355371900826448,58.62963674802998,117,0.0,0.0,FSLR,0.0,1515495457.31,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Pragmatic Tilt,SUSA,0.019999822214421398,0.9999911107210698,0.5882000000000001,20.88083892247824,0.9224495496309518,78.19671152789081,200,27.19023665288222,97.01492537313433,MSFT,-6.357007826021746,3715892967.15,0.0,0.0,0.0,0.0,-6.938893903907228e-16,-2.7755575615628914e-15,0.0,0.0,0.0,0.0,3.469446951953614e-16,0.0,0.0,0.0,,,
Pragmatic Tilt,XJH,0.002328838189483848,0.1164419094741924,0.1699,1.5836084433958528,0.00016936735070380543,98.41622218925343,380,8.309824789475693,99.21671018276763,DTM,0.7147710530612463,298461803.67,0.0005026808781833595,0.014392604923732684,-0.06747251278425848,0.009178580479422827,0.0028485249763725295,0.03628611228071732,0.01670017584186889,-0.06432400391075122,0.0235887656540118,0.010872801217003819,0.01454050984671107,0.002885760596978669,0.0,-0.0014894248242525165,0.0014894248242469654,,
Pragmatic Tilt,ESML,0.0037014910906191236,0.18507455453095617,0.10450000000000001,0.8752997307387058,0.0004225120966377597,99.12427775716466,924,13.179568615149323,99.67637540453075,DTM,0.8503684030184689,1918530890.25,-1.734723475976807e-16,-6.938893903907228e-16,-2.7755575615628914e-15,-6.938893903907228e-16,-6.938893903907228e-16,-2.7755575615628914e-15,-1.3877787807814457e-15,-2.7755575615628914e-15,-2.7755575615628914e-15,-6.938893903907228e-16,-6.938893903907228e-16,-1.0408340855860843e-15,0.0,0.0,,,
Pragmatic Tilt,CRBN,0.011577661570767084,0.5788830785383542,0.4920999999999999,17.36864016898481,0.0005213532567457427,82.63083847775845,998,26.91880191855561,92.84386617100371,MSFT,-4.469922848955692,1071014287.19,0.016757338300167277,-0.02031162671466552,0.12722872151861853,-0.09437817667538734,0.03881650691972237,-0.939542193186238,0.2814443741623332,-0.2053753203822506,1.1739504629803443,-0.12671174560059917,-0.023747887150728578,-0.22813045417131375,-0.0015419638219903165,0.016008703050773843,-0.0017108868249612885,-0.0057607075372112515,-0.00699514486661168
Pragmatic Tilt,USCL,0.019999829107707413,0.9999914553853706,0.6473,14.537448436495692,6.95427992276672,78.50827164073758,294,32.24144423335876,91.1864406779661,MSFT,-5.805718069821917,2544447290.37,0.0,0.0,0.0,6.938893903907228e-16,0.0,0.0,-1.3877787807814457e-15,1.3877787807814457e-15,0.0,0.0,0.0,0.0,0.0,0.0,,,
Pragmatic Tilt,SDG,0.010206851765227912,0.5103425882613956,0.5922,26.018497057007416,0.00025240180124129816,73.98125054119134,139,12.506178742943778,87.9746835443038,KMB,-3.3199070448079593,174119300.99,0.046288867175493534,,0.03417150850241191,-2.594932337135472,,,1.061239615989179,-0.20097957787917065,1.635698341978589,-0.5829754315945495,0.6800973177721853,-0.078608304808667,0.01073465950590935,0.14541010387481013,0.028969517793240446,-0.2821012266662204,0.09698694549225839
