year,weighting_mode,classification,exposure_pct
2017,EW,Clean,7.6361589942066335
2018,EW,Clean,8.79882861470519
2019,EW,Clean,7.751822666557741
2020,EW,Clean,8.344955518953762
2021,EW,Clean,7.484911038747046
2022,EW,Clean,9.568761932318369
2023,EW,Clean,10.175734159466641
2024,EW,Clean,10.042658493846604
2025,EW,Clean,11.40972211056509
2017,AUM_TRUE,Clean,9.040068038019825
2018,AUM_TRUE,Clean,10.044757140081115
2019,AUM_TRUE,Clean,8.521867883631561
2020,AUM_TRUE,Clean,10.873398561649756
2021,AUM_TRUE,Clean,9.86230130796522
2022,AUM_TRUE,Clean,12.147179297290759
2023,AUM_TRUE,Clean,11.85979797538708
2024,AUM_TRUE,Clean,11.668768452061114
2025,AUM_TRUE,Clean,11.670769483403987
2017,EW,Controversial,12.849667226604323
2018,EW,Controversial,14.662250396933239
2019,EW,Controversial,16.315492301338566
2020,EW,Controversial,14.942955253879106
2021,EW,Controversial,12.333907301617934
2022,EW,Controversial,16.338715575300007
2023,EW,Controversial,16.341436948993024
2024,EW,Controversial,17.066736860774046
2025,EW,Controversial,20.11124838151475
2017,AUM_TRUE,Controversial,15.258175178502814
2018,AUM_TRUE,Controversial,17.052528489277293
2019,AUM_TRUE,Controversial,20.149480408511895
2020,AUM_TRUE,Controversial,21.0143241133141
2021,AUM_TRUE,Controversial,16.107888472230172
2022,AUM_TRUE,Controversial,20.21274641418977
2023,AUM_TRUE,Controversial,18.790858026192225
2024,AUM_TRUE,Controversial,20.664169028784396
2025,AUM_TRUE,Controversial,25.077658326736742
2017,EW,Other,82.30370135121015
2018,EW,Other,80.60652856315203
2019,EW,Other,77.70988046940033
2020,EW,Other,78.28064940280892
2021,EW,Other,81.13847105349282
2022,EW,Other,75.72615816733962
2023,EW,Other,75.33801416242966
2024,EW,Other,74.02359754358092
2025,EW,Other,68.73014466407132
2017,AUM_TRUE,Other,77.59725576070534
2018,AUM_TRUE,Other,75.79515234462895
2019,AUM_TRUE,Other,71.89192027227837
2020,AUM_TRUE,Other,69.1910356164929
2021,AUM_TRUE,Other,74.76126222505174
2022,AUM_TRUE,Other,69.52528128576087
2023,AUM_TRUE,Other,71.26850267299548
2024,AUM_TRUE,Other,68.41390428860178
2025,AUM_TRUE,Other,63.228140262370545
